country,mined_raw_mat,unit,2018,2019,2020,2021,2022
Brazil,Nat. Gas,(Mio m3),26687.0,27358.0,25384.0,25382.0,24098.0
Brazil,Petroleum,(t),134122000.0,143933400.0,151759400.0,149154800.0,154993700.0
Brazil,Uranium,(t),0.0,0.0,20.0,34.0,51.0
Brunei,Nat. Gas,(Mio m3),12235.0,12504.0,12065.0,11178.0,10266.0
Brunei,Petroleum,(t),5553200.0,6040240.0,5479350.0,5308680.0,4577160.0
Bulgaria,Cadmium,(t),313.0,315.0,311.0,343.0,315.0
Bulgaria,Copper,(t),112850.0,114240.0,107610.0,104020.0,121120.0
Bulgaria,Lead,(t),24200.0,23350.0,20680.0,21420.0,23110.0
Bulgaria,Tellurium,(t),4.0,3.0,4.0,3.0,3.0
Bulgaria,Zinc,(t),20390.0,19170.0,17520.0,17910.0,19330.0
Bulgaria,Gold,(kg),8995.0,7467.0,9349.0,9695.0,8529.0
Bulgaria,Silver,(kg),47016.0,40755.0,39126.0,38661.0,26437.0
Bulgaria,Baryte,(t),70000.0,72000.0,41000.0,72000.0,75000.0
Bulgaria,Bentonite,(t),45000.0,45000.0,40900.0,72100.0,72000.0
Bulgaria,Gypsum,(t),88000.0,88000.0,54800.0,77400.0,77000.0
Bulgaria,Kaolin,(t),323000.0,330000.0,276000.0,380000.0,609760.0
Bulgaria,Salt,(t),3400000.0,3400000.0,2700000.0,3300000.0,3300000.0
Bulgaria,Sulfur,(t),474100.0,423600.0,497000.0,434500.0,515500.0
Bulgaria,Lignite,(t),31813678.0,29462615.0,22519300.0,28410900.0,35513000.0
Bulgaria,Nat. Gas,(Mio m3),31.0,35.0,55.0,31.0,17.0
Bulgaria,Oil Shales,(t),0.0,39000.0,44000.0,56000.0,61000.0
Bulgaria,Petroleum,(t),20600.0,20000.0,20500.0,20086.0,19480.0
Burkina Faso,Zinc,(t),99162.0,106680.0,78990.0,84170.0,22880.0
Burkina Faso,Gold,(kg),52622.0,50559.0,62405.0,67126.0,58159.0
Burkina Faso,Silver,(kg),6160.0,5670.0,10012.0,8897.0,7326.0
Burundi,Niobium,(t),5.0,5.0,4.0,10.0,3.0
Burundi,Tantalum,(t),8.0,8.0,6.0,15.0,5.0
Burundi,Tungsten,(t),108.0,150.0,166.0,120.0,100.0
Burundi,Rare Earths,(t),631.0,195.0,296.0,134.0,0.0
Burundi,Tin,(t),122.0,143.0,121.0,95.0,80.0
Burundi,Gold,(kg),598.0,573.0,863.0,986.0,914.0
Cambodia,Gold,(kg),,,0.0,1466.0,3320.0
Cambodia,Salt,(t),30000.0,18430.0,83969.0,68682.0,35000.0
Cameroon,Aluminium,(t),65900.0,68950.0,61650.0,47300.0,62770.0
Cameroon,Gold,(kg),448.0,341.0,233.0,440.0,175.0
Cameroon,Diam. (Ind),(ct),1805.0,1737.0,2438.0,2668.0,2431.0
Cameroon,Nat. Gas,(Mio m3),1460.0,2010.0,2130.0,2090.0,2190.0
Cameroon,Petroleum,(t),3428100.0,3545900.0,3622200.0,3493100.0,3403200.0
Canada,Iron,(t),32180800.0,34457800.0,36995000.0,35542900.0,42073900.0
Canada,Cobalt,(t),5608.0,5039.0,4069.0,3953.0,3063.0
Canada,Molybdenum,(t),5048.0,4385.0,3979.0,1871.0,1146.0
Canada,Nickel,(t),177867.0,176021.0,168214.0,159145.0,143266.0
Canada,Niobium,(t),7700.0,6800.0,6400.0,7650.0,6800.0
Canada,Titanium,(t),620000.0,550000.0,480000.0,440000.0,540000.0
Canada,Aluminium,(t),2924389.0,2853771.0,3118710.0,3136704.0,3033966.0
Canada,Antimony,(t),5.0,2.0,2.0,2.0,2.0
Canada,Bismuth,(t),5.0,4.0,4.0,0.0,0.0
Canada,Cadmium,(t),1857.0,1803.0,1800.0,1800.0,1800.0
Canada,Copper,(t),548011.0,557242.0,581713.0,509350.0,510782.0
Canada,Indium,(t),58.0,61.0,61.0,44.0,39.0
Canada,Lead,(t),17874.0,22608.0,3770.0,9339.0,8247.0
Canada,Lithium,(t),8750.0,1200.0,0.0,0.0,0.0
Canada,Selenium,(t),85.0,102.0,102.0,57.0,110.0
Canada,Tellurium,(t),25.0,13.0,23.0,25.0,24.0
Canada,Zinc,(t),304964.0,269353.0,246995.0,230187.0,208147.0
Canada,Gold,(kg),194155.0,190889.0,177884.0,196128.0,205831.0
Canada,Palladium,(kg),20880.0,21928.0,10897.0,15433.0,16099.0
Canada,Platinum,(kg),7460.0,9633.0,5524.0,4484.0,5490.0
Canada,Rhodium,(kg),750.0,750.0,400.0,450.0,500.0
Canada,Silver,(kg),403589.0,398773.0,306913.0,319119.0,334480.0
Canada,Baryte,(t),50000.0,40000.0,40000.0,50000.0,50000.0
Canada,Diam. (Gem),(ct),22789001.0,18573661.0,14208812.0,16865216.0,17728144.0
Canada,Fluorspar,(t),20000.0,80000.0,50000.0,50000.0,20000.0
Canada,Graphite,(t),11000.0,4332.0,16239.0,9743.0,13000.0
Canada,Gypsum,(t),3240451.0,2444963.0,3049824.0,2896360.0,3174070.0
Canada,Magnesite,(t),150000.0,150000.0,160000.0,180000.0,230000.0
Canada,Potash,(t),14023931.0,12820345.0,13722423.0,14275819.0,15116101.0
Canada,Salt,(t),10713206.0,11896659.0,13282003.0,13188229.0,14640779.0
Canada,Sulfur,(t),5333000.0,4808913.0,4904051.0,4879000.0,4898600.0
Canada,Talc,(t),279000.0,243000.0,153293.0,153000.0,200000.0
Canada,Steam Coal,(t),17929000.0,15078380.0,13291550.0,12358380.0,12201040.0
Canada,Coking Coal,(t),29666000.0,29952270.0,25315420.0,26937110.0,26461240.0
Canada,Lignite,(t),9900000.0,8134855.0,7538920.0,8314510.0,6427680.0
Canada,Nat. Gas,(Mio m3),177794.0,170747.0,166936.0,173423.0,186121.0
Canada,Oil Sands*,(t),156864600.0,158766200.0,153043300.0,167022400.0,179386500.0
Canada,Petroleum,(t),258786900.0,265045900.0,253195200.0,266190400.0,271233300.0
Canada,Uranium,(t),8225.0,8230.0,4260.0,5622.0,6168.0
Cape Verde,Salt,(t),1000.0,1000.0,2585.0,2621.0,2600.0
Central African Republic,Gold,(kg),142.0,359.0,401.0,840.0,1507.0
Central African Republic,Diam. (Gem),(ct),10860.0,22040.0,49470.0,74220.0,90900.0
